Category,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,19.365377829098342,29.150812070713535,36.54339655235445,43.49101426923165
bicycle,12.576639409972742,23.689474106140768,33.361091069424404,44.509539842873174
bird,24.645597458097456,40.12976606726606,50.33287407037406,58.140424852924845
boat,10.23530350163516,17.811677434793012,25.205192629815745,31.69797399696897
bottle,14.999651907546646,23.539752158173208,31.385059871901973,38.56290030632135
bus,13.442758792616477,19.662203089622444,25.995666519860062,31.44182241786606
car,10.893191292599576,19.431296842539446,25.136487444179753,32.62123560200483
cat,31.100663385146138,44.06295492502389,52.83067028756684,60.25614551476621
chair,11.32952562271934,17.338474498160362,24.297348957034817,32.41138006844813
cow,17.019854834847436,30.194973796675818,39.44553721420457,48.95384409057028
dog,18.263903785376176,30.763554781959687,41.05827029139912,51.85482717691306
horse,13.841986529847802,22.646095073840737,32.666995817284835,41.38089591846817
motorbike,14.838337633904137,24.858472124481974,34.513058096801934,45.62925170068027
person,24.03876268933087,35.829982832823745,45.16037308650945,53.01777452345634
pottedplant,14.91638905219152,24.091547455744987,30.880691096740478,40.53775556861977
sheep,11.275000252272976,20.72963320570976,30.410754848553893,38.92745810808012
train,20.95404402696069,36.29241321949655,49.90191649913872,60.5257833730056
tvmonitor,21.076260340966222,35.67130062450918,43.99925831744013,50.378086708300614
AVERAGE,16.84289517113937,27.444841801823816,36.18275028807033,44.60039865712109
