Category,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,21.470019342359766,31.076724693745973,39.329464861379755,47.38878143133462
bicycle,13.780260707635009,25.232774674115454,34.357541899441344,45.81005586592179
bird,26.104100946372238,42.27129337539432,52.52365930599369,60.252365930599375
boat,13.297297297297298,23.243243243243246,31.783783783783782,39.35135135135135
bottle,16.152450090744104,25.468844525105865,33.63581367211131,40.95583787053842
bus,18.7593423019432,26.00896860986547,33.482810164424514,40.80717488789238
car,16.870876531573987,26.48444863336475,32.51649387370406,40.810556079170595
cat,31.22573488630061,44.03771491957848,52.52357182473655,59.900166389351085
chair,13.333333333333334,19.906103286384976,27.699530516431924,36.056338028169016
cow,21.075672295184493,34.64665415884928,44.903064415259536,54.47154471544715
dog,19.36459909228442,32.450832072617246,43.19213313161876,53.782148260211805
horse,15.00732064421669,24.011713030746705,34.40702781844802,43.557833089311856
motorbike,15.29888551165147,25.53191489361702,35.46099290780142,46.403242147923
person,27.560366361365528,39.966694421315566,49.62531223980017,57.45212323064113
pottedplant,17.77084957131723,28.448947778643802,35.15198752922837,43.10210444271239
sheep,13.486842105263158,25.24671052631579,35.27960526315789,44.32565789473684
train,23.23825503355705,38.6744966442953,52.055369127516784,62.5
tvmonitor,21.99899547965846,37.7197388247112,46.710195881466596,53.189352084379706
AVERAGE,19.93462749631283,31.68174751863515,41.00131542233029,49.5914218519552
