Category,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,33.13990973565441,45.58349451966473,51.96647324306899,59.252095422308194
bicycle,22.905027932960895,35.940409683426445,45.2513966480447,53.724394785847295
bird,52.99684542586751,73.89589905362776,81.46687697160884,85.64668769716089
boat,21.83783783783784,31.027027027027028,40.10810810810811,48.86486486486486
bottle,24.621899576527525,37.870538415003026,45.13006654567453,51.11917725347852
bus,31.09118086696562,41.180866965620325,48.13153961136024,53.88639760837071
car,27.04995287464656,37.60603204524034,45.05183788878417,50.141376060320454
cat,48.58569051580699,66.22296173044924,72.32390460343872,77.31558513588463
chair,25.070422535211268,33.990610328638496,42.06572769953051,50.42253521126761
cow,38.71169480925579,58.03627267041901,66.66666666666666,73.17073170731707
dog,29.576399394856278,48.56278366111952,58.6232980332829,66.26323751891074
horse,31.625183016105417,48.535871156661784,58.93118594436311,65.22693997071742
motorbike,24.822695035460992,37.38601823708207,47.01114488348531,55.116514690982775
person,42.714404662781014,60.61615320566195,68.35970024979184,73.68859283930058
pottedplant,33.12548713951676,47.31098986749805,54.16991426344505,59.23616523772408
sheep,31.00328947368421,48.026315789473685,57.8125,65.87171052631578
train,39.63926174496644,63.00335570469798,72.69295302013423,79.73993288590604
tvmonitor,38.272225012556504,57.05675539929683,64.84178804620794,70.26619789050729
AVERAGE,34.264758639933035,50.25710527364771,58.47251564555347,64.9340295770718
