Category,PCK@0.05_keypoint,PCK@0.1_keypoint,PCK@0.15_keypoint,PCK@0.2_keypoint,PCK@0.05_image,PCK@0.1_image,PCK@0.15_image,PCK@0.2_image
aeroplane,32.5,42.6,50.9,58.5,3.0,3.0,4.6,6.6
bicycle,22.2,32.3,42.4,52.3,0.0,0.6,3.3,7.8
bird,47.7,69.2,79.1,84.1,1.5,11.5,28.0,39.5
boat,21.3,29.0,38.6,48.0,1.5,2.0,4.5,7.0
bottle,25.8,36.4,44.0,51.0,0.0,1.8,4.8,8.3
bus,31.4,39.1,46.6,53.3,1.1,1.6,3.2,4.3
car,27.0,34.8,42.3,49.9,0.0,2.4,3.0,3.6
cat,48.5,60.3,70.4,76.9,0.6,2.3,10.3,20.7
chair,25.7,31.5,39.6,49.2,0.5,1.0,2.1,5.2
cow,37.6,51.8,64.0,71.5,2.0,4.4,9.4,18.7
dog,27.8,43.9,55.4,64.7,0.0,0.0,0.6,2.5
horse,32.1,45.6,55.3,63.0,0.0,0.0,4.6,8.7
motorbike,24.0,35.5,44.9,54.3,1.0,1.5,3.9,7.9
person,40.9,56.7,65.0,73.4,1.1,6.8,11.9,23.9
pottedplant,32.6,45.1,52.7,58.7,2.5,7.8,12.8,18.9
sheep,29.6,44.7,54.7,63.6,2.4,8.6,14.8,21.1
train,38.5,57.9,70.3,78.0,0.0,6.5,14.8,20.8
tvmonitor,34.6,53.3,63.2,69.2,0.5,2.7,5.3,6.4
